GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,128,12,14,0,34,5,12,3,5,3
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,5,32,1,1,1,7,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,226,4,10,0,39,4,14,0,11
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,224,4,10,0,47,4,14,0,11
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,242,7,10,0,36,2,14,1,9,1
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,223,2,8,0,37,2,14,0,11
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,221,2,8,0,37,2,14,0,11
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,203,0,6,0,35,0,14,0,11
spring-boot-skeleton,com.nnk.springboot.utils,DigitalFormValidator,3,8,0,2,1,1,1,2,1,1
spring-boot-skeleton,com.nnk.springboot.utils,PasswordValidator,3,11,0,0,1,3,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,29,0,0,0,7,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,30,0,0,0,7,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,29,0,0,0,7,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,29,0,0,0,7,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,29,0,0,0,7,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,29,0,0,0,7,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,100,0,0,0,19,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.domain,Rating.RatingBuilder,32,42,0,0,0,1,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.domain,Rating,20,40,0,0,1,14,5,8,5,8
spring-boot-skeleton,com.nnk.springboot.domain,RuleName.RuleNameBuilder,42,56,0,0,0,1,1,9,1,9
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,28,52,0,0,1,18,7,10,7,10
spring-boot-skeleton,com.nnk.springboot.domain,Trade.TradeBuilder,197,69,0,0,0,1,18,6,18,6
spring-boot-skeleton,com.nnk.springboot.domain,BidList,154,131,0,0,24,15,40,11,40,11
spring-boot-skeleton,com.nnk.springboot.domain,Trade,139,108,0,0,23,14,36,10,36,10
spring-boot-skeleton,com.nnk.springboot.domain,User,16,44,0,0,0,15,4,9,4,9
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,38,55,0,0,7,13,8,8,8,8
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint.CurvePointBuilder,52,34,0,0,0,1,4,5,4,5
spring-boot-skeleton,com.nnk.springboot.domain,User.UserBuilder,37,37,0,0,0,1,2,6,2,6
spring-boot-skeleton,com.nnk.springboot.domain,BidList.BidListBuilder,217,73,0,0,0,1,20,6,20,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
